valid_time,t2m,d2m,u10,v10,sp
2025-07-31 22:00:00,299.62858666666665,298.9659222222222,0.720805519,1.032437671111111,97373.68177777778
2025-07-31 23:00:00,299.60305,298.92438,0.1968358,0.7162291504444445,97409.13
2025-08-01 00:00:00,300.08684111111114,298.99694999999997,0.22713599088888892,1.2734323699999999,97433.41788888889
2025-08-01 01:00:00,300.1600144444444,299.1365533333333,0.3489277922222222,1.564309911111111,97455.04222222223
2025-08-01 02:00:00,300.79736222222226,299.3210144444445,-0.076101377,1.7638837,97488.63455555556
2025-08-01 03:00:00,301.3431233333333,299.29280444444447,0.026617820222222224,1.9428479777777778,97545.00777777779
2025-08-01 04:00:00,301.32995,299.163,0.3080787221111111,2.350651855555556,97570.41466666666
2025-08-01 05:00:00,302.5172622222222,299.40353333333337,1.739267111111111,2.7981073666666667,97597.42455555555
2025-08-01 06:00:00,303.56776444444444,299.87294777777777,2.426621433333333,2.5832027777777777,97577.87555555555
2025-08-01 07:00:00,303.93024333333335,300.0961688888889,2.955648522222222,2.1487243555555557,97561.606
2025-08-01 08:00:00,305.0157066666667,300.24916,3.2088707666666667,1.5948847444444445,97511.02433333333
2025-08-01 09:00:00,305.28091,300.3857111111111,3.116681188888889,1.4109862666666666,97431.72955555556
2025-08-01 10:00:00,304.92706111111113,299.83718888888893,3.404264422222222,0.16388421066666664,97361.50977777777
2025-08-01 11:00:00,305.0470866666667,299.79477999999995,2.183765511111111,-0.004760941000000005,97385.47166666666
2025-08-01 12:00:00,304.3890833333333,299.89181222222226,2.116117288888889,0.29046304333333334,97331.84844444445
2025-08-01 13:00:00,303.8848966666667,300.06759444444447,1.4958451555555556,0.13392381444444443,97432.26444444444
2025-08-01 14:00:00,302.72522888888886,299.71477555555555,1.3256823111111111,0.7785530155555556,97465.03911111111
2025-08-01 15:00:00,302.0163444444445,299.58948555555554,1.2614281066666666,1.1293932944444445,97524.15455555555
2025-08-01 16:00:00,301.7564188888889,299.4613222222222,1.25981889,1.4138645666666667,97579.50555555556
2025-08-01 17:00:00,301.1615433333334,299.3924222222222,1.2642304944444445,1.5836491366666667,97574.48599999999
2025-08-01 18:00:00,301.23175888888886,299.34016777777776,1.3322239344444444,1.5933969111111113,97587.85377777778
2025-08-01 19:00:00,301.0175466666667,299.21474333333333,1.5072062144444445,1.561251011111111,97556.27844444446
2025-08-01 20:00:00,300.85884444444446,299.16674666666665,1.806032711111111,1.7128076666666667,97509.53666666667
2025-08-01 21:00:00,300.62225,299.15573222222224,2.353140511111111,1.4386623222222221,97470.16977777779
2025-08-01 22:00:00,300.55533444444444,299.25595666666663,1.9562158444444444,1.0532834155555557,97429.92911111111
2025-08-01 23:00:00,300.5275766666666,299.25355666666667,2.2678727111111114,0.93897114,97458.78600000001
2025-08-02 00:00:00,301.00104555555555,299.2371377777778,2.2972555333333333,0.923972698888889,97464.856
2025-08-02 01:00:00,300.9774022222222,299.1687933333333,2.2635483222222224,0.9728407555555556,97545.46822222223
2025-08-02 02:00:00,301.2730177777778,299.14131444444445,2.310817722222222,0.8377774966666667,97602.90555555555
2025-08-02 03:00:00,301.2881366666667,299.05255111111114,3.205563333333333,0.5427154788888889,97622.76988888888
2025-08-02 04:00:00,301.05852,298.9023544444444,4.117713277777778,0.08715738144444446,97659.945
2025-08-02 05:00:00,302.4286888888889,298.72135333333335,4.497074722222222,-0.2202049488888889,97684.30122222222
2025-08-02 06:00:00,303.9123911111111,298.74264999999997,4.289137411111111,-0.24976294844444447,97669.38222222222
